id,command,note
event_start_game,"SAY(システム,CSV駆動型ナラティブシステムのテストを開始します。);GOTO(event_setup_player)","システムの初期化メッセージ"
event_setup_player,"SET(player.location,test_room);SET(player.interaction_count,0);GOTO(event_location_check)","プレイヤーの初期状態を設定"
event_location_check,"IF(player.location==test_room,event_in_test_room,event_unknown_location)","location属性による条件分岐テスト"
event_in_test_room,"SAY(ナレーション,テストルームに配置されました。Entity-Propertyモデルが正常に動作しています。);GOTO(event_interaction_demo)","位置情報の確認とシステム説明"
event_unknown_location,"SAY(ナレーション,想定外の場所です。システムエラーが発生している可能性があります。);GOTO(event_interaction_demo)","エラーハンドリングの例"
event_interaction_demo,"SAY(ナレーション,このシステムではプレイヤーの行動や状態をCSVデータで動的に管理できます。);GOTO(event_choice_demo)","システムの特徴説明"
event_choice_demo,"CHOICE(データを確認する:event_check_data,プロパティを変更する:event_modify_property,文章解析テスト:event_narrative_parse_test,システムを終了する:event_system_end)","選択肢機能のテスト"
event_check_data,"SAY(ナレーション,現在のプレイヤーデータ: 場所={player.location}, インタラクション回数={player.interaction_count});GOTO(event_increment_counter)","データ表示のデモ"
event_modify_property,"SET(player.test_flag,modified);SAY(ナレーション,test_flagプロパティを'modified'に設定しました。);GOTO(event_increment_counter)","プロパティ変更のデモ"
event_narrative_parse_test,"SAY(ナレーション,あなたは薄暗い石の部屋に立っている。目の前には古い木製のドアがある。きしんだ音が窓の方から聞こえる。);GOTO(event_simple_parse_test)","文章表示のテスト"
event_simple_parse_test,"SAY(ナレーション,窓から部屋の様子を見ている。ドアが気になる。);GOTO(event_increment_counter)","シンプルな文章表示のテスト"
event_increment_counter,"SET(player.interaction_count,1);SAY(ナレーション,インタラクション回数を更新しました。);GOTO(event_loop_test)","カウンター更新のテスト"
event_loop_test,"IF(player.interaction_count==1,event_continue_demo,event_end_demo)","数値比較による条件分岐"
event_continue_demo,"SAY(ナレーション,条件分岐が正常に動作しました。もう一度テストしますか？);GOTO(event_choice_demo)","ループバック機能のテスト"
event_end_demo,"SAY(ナレーション,意外な条件分岐です。デバッグが必要かもしれません。);GOTO(event_system_end)","予期しないパスの処理"
event_system_end,"SAY(システム,CSV駆動型ナラティブシステムのテストが完了しました。全ての基本機能が動作確認されました。)","テスト終了メッセージ"